# t 	dNdt (2to2) 	error (2to2) 	dNdt (Brems) 	error (Brems) 
69.75	0.000238431497103	1.49795324128e-05	4.93147564088e-06	2.14602767985e-07
70.25	0.000250777922568	1.52878987946e-05	5.8877966033e-06	4.72342663548e-07
70.75	0.000245140408476	1.45351997703e-05	4.6300262093e-06	3.17600790116e-07
71.25	0.000247586622618	1.68580483009e-05	5.02408950509e-06	2.91432755982e-07
71.75	0.000228617196562	1.5737603369e-05	4.75669895891e-06	2.67686857727e-07
72.25	0.00021516549157	1.39801420342e-05	4.50569452276e-06	2.41325085889e-07
72.75	0.000216848514035	1.29927216759e-05	4.21755032515e-06	2.26233925807e-07
73.25	0.000243300670097	1.49740816485e-05	4.6729987959e-06	4.0663411707e-07
73.75	0.000213027709235	1.35202805888e-05	5.0789730656e-06	5.64233331532e-07
74.25	0.000235739387915	1.94914171198e-05	3.55084634235e-06	2.15103188058e-07
74.75	0.000218635684333	1.30292851166e-05	3.66342450679e-06	2.36294274157e-07
75.25	0.000196876867606	1.28963853536e-05	3.58691954685e-06	2.54029250476e-07
75.75	0.000192277210976	1.13566770387e-05	3.40153340337e-06	1.97426827304e-07
76.25	0.000206987751362	1.66687186298e-05	3.30650186574e-06	2.19643017315e-07
76.75	0.000204831377057	1.44120273208e-05	2.94559287801e-06	1.80671998182e-07
77.25	0.000162824937377	1.07521574058e-05	2.9914666319e-06	2.48806421865e-07
77.75	0.000182040997712	1.22843039516e-05	2.62753584331e-06	1.56157391579e-07
78.25	0.000178195454376	1.30174893185e-05	2.7060444302e-06	1.89431231969e-07
78.75	0.000175443416466	1.22200411674e-05	2.66357305315e-06	2.32928129234e-07
79.25	0.000190088770415	1.56595883246e-05	2.64781480809e-06	1.81378446771e-07
79.75	0.000193454351736	1.6515520339e-05	2.31890891331e-06	1.43623535681e-07
80.25	0.000160286864166	1.16555250107e-05	2.42989939926e-06	2.32412132792e-07
80.75	0.000158499102776	1.22119359264e-05	2.28501513579e-06	1.56691141705e-07
81.25	0.000165184467308	1.35229497005e-05	2.14121086524e-06	1.8569575905e-07
81.75	0.000177706601042	1.35599782543e-05	2.2011975682e-06	1.95279939882e-07
82.25	0.000139451394916	1.12807232147e-05	2.10839606124e-06	1.97055883667e-07
82.75	0.000146538901351	1.17207867252e-05	1.93649882855e-06	2.08445872078e-07
83.25	0.000133228884656	1.08554893446e-05	1.98869082419e-06	1.91500246161e-07
83.75	0.00017096046484	1.32339785195e-05	1.89044230325e-06	2.21117315786e-07
84.25	0.000146167274685	1.08967501391e-05	1.93191277944e-06	1.84531678048e-07
84.75	0.000143544848692	1.11255178196e-05	1.68598872474e-06	1.58095674748e-07
85.25	0.000146927845579	1.13132987334e-05	1.55787046701e-06	1.27707375703e-07
85.75	0.000155947650352	1.28689816174e-05	1.50738585958e-06	1.48818188731e-07
86.25	0.0001425932295	1.1954805427e-05	1.52290475265e-06	1.35888727045e-07
86.75	0.000127775025189	9.23926585195e-06	1.34944327605e-06	1.12520864376e-07
87.25	0.000119176787711	9.0577442436e-06	1.36877393665e-06	1.89761212369e-07
87.75	0.000140348224484	1.09172858372e-05	1.4150686124e-06	1.35383768639e-07
88.25	0.000129085201997	1.17046221347e-05	1.57002428211e-06	1.97636065947e-07
88.75	0.000122416096617	1.21483878552e-05	1.21488876302e-06	1.88070205759e-07
89.25	0.000128788635046	1.26887461312e-05	1.1232139128e-06	1.10346103036e-07
89.75	0.000113858161104	8.45665932562e-06	1.07431803264e-06	1.09963671137e-07
90.25	0.00011746461038	1.0257117858e-05	8.50264151145e-07	7.6820458791e-08
90.75	0.000109583926261	9.24811167922e-06	9.49932232522e-07	8.98625059142e-08
91.25	0.000111183225053	8.38506143607e-06	1.02894578559e-06	1.08349608177e-07
91.75	0.000124232914119	1.17753608976e-05	1.09388496174e-06	1.09823079772e-07
92.25	0.000116618157018	1.29161206194e-05	9.49482295198e-07	9.54209839355e-08
92.75	0.00010240813464	8.80998821705e-06	8.91823874567e-07	9.15099992385e-08
93.25	9.05579426498e-05	9.52603977154e-06	8.11215674535e-07	9.68546545726e-08
93.75	0.000105766155524	1.03727945005e-05	8.76451476649e-07	7.65030172518e-08
94.25	0.000118223829325	1.05864512932e-05	6.55669829638e-07	6.63749553181e-08
94.75	0.000112732626977	9.8975898242e-06	8.18521703448e-07	9.57901602189e-08
95.25	0.000101260419702	9.70061970696e-06	7.07582242525e-07	8.38711128165e-08
95.75	0.000101521450773	1.11285852914e-05	1.00464368448e-06	1.59033263532e-07
96.25	0.000105776253663	1.09799663565e-05	5.25140931558e-07	4.98369325349e-08
96.75	8.67276774935e-05	7.08902636817e-06	6.45307089633e-07	7.9830623839e-08
97.25	0.000102067246477	8.89316975395e-06	5.93418777149e-07	7.47447064549e-08
97.75	9.97085284577e-05	8.58195526563e-06	5.96408603602e-07	7.28099393336e-08
98.25	9.23710809576e-05	9.14186528208e-06	6.3254635591e-07	7.30002993362e-08
98.75	9.24284286997e-05	8.45646354097e-06	5.53741424896e-07	6.64400317668e-08
99.25	9.75319210257e-05	9.60959740481e-06	5.11944918357e-07	1.25016211233e-07
99.75	9.13470475519e-05	9.65297879445e-06	4.82769411216e-07	5.01056088583e-08
